start,end,value,accn,fy,fp,form,metric,CIK,CompanyName
2025-04-01,2025-06-30,3406000000,0000731766-25-000236,2025,Q2,10-Q,NetIncomeLoss,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,998000000,0000731766-25-000131,2025,Q1,10-Q,InterestExpense,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,2025000000,0000731766-25-000236,2025,Q2,10-Q,InterestExpense,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,1027000000,0000731766-25-000236,2025,Q2,10-Q,InterestExpense,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,1632000000,0000731766-25-000131,2025,Q1,10-Q,IncomeTaxExpenseBenefit,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,2142000000,0000731766-25-000236,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,510000000,0000731766-25-000236,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,1061000000,0000731766-25-000131,2025,Q1,10-Q,DepreciationAndAmortization,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,2145000000,0000731766-25-000236,2025,Q2,10-Q,DepreciationAndAmortization,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,1084000000,0000731766-25-000236,2025,Q2,10-Q,DepreciationAndAmortization,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,5456000000,0000731766-25-000131,2025,Q1,10-Q,NetCashProvidedByUsedInOperatingActivities,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,12644000000,0000731766-25-000236,2025,Q2,10-Q,NetCashProvidedByUsedInOperatingActivities,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,-74000000,0000731766-25-000131,2025,Q1,10-Q,NetCashProvidedByUsedInInvestingActivities,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,-1516000000,0000731766-25-000236,2025,Q2,10-Q,NetCashProvidedByUsedInInvestingActivities,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,99000000,0000731766-25-000131,2025,Q1,10-Q,NetCashProvidedByUsedInFinancingActivities,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,-7848000000,0000731766-25-000236,2025,Q2,10-Q,NetCashProvidedByUsedInFinancingActivities,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,898000000,0000731766-25-000131,2025,Q1,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,1784000000,0000731766-25-000236,2025,Q2,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,6774000000,0000731766-25-000131,2025,Q1,10-Q,ComprehensiveIncomeNetOfTax,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,10550000000,0000731766-25-000236,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,3776000000,0000731766-25-000236,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,13594000000,0000731766-25-000131,2025,Q1,10-Q,SellingGeneralAndAdministrativeExpense,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,27372000000,0000731766-25-000236,2025,Q2,10-Q,SellingGeneralAndAdministrativeExpense,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,13778000000,0000731766-25-000236,2025,Q2,10-Q,SellingGeneralAndAdministrativeExpense,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,12390000000,0000731766-25-000131,2025,Q1,10-Q,CostOfGoodsAndServicesSold,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,25409000000,0000731766-25-000236,2025,Q2,10-Q,CostOfGoodsAndServicesSold,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,13019000000,0000731766-25-000236,2025,Q2,10-Q,CostOfGoodsAndServicesSold,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,94588000000,0000064803-25-000013,2025,Q1,10-Q,Revenues,0000064803,CVS Health
2025-01-01,2025-06-30,1.93503E+11,0000064803-25-000024,2025,Q2,10-Q,Revenues,0000064803,CVS Health
2025-04-01,2025-06-30,98915000000,0000064803-25-000024,2025,Q2,10-Q,Revenues,0000064803,CVS Health
2025-01-01,2025-03-31,3374000000,0000064803-25-000013,2025,Q1,10-Q,OperatingIncomeLoss,0000064803,CVS Health
2025-01-01,2025-06-30,5755000000,0000064803-25-000024,2025,Q2,10-Q,OperatingIncomeLoss,0000064803,CVS Health
2025-04-01,2025-06-30,2381000000,0000064803-25-000024,2025,Q2,10-Q,OperatingIncomeLoss,0000064803,CVS Health
2025-01-01,2025-03-31,1779000000,0000064803-25-000013,2025,Q1,10-Q,NetIncomeLoss,0000064803,CVS Health
2025-01-01,2025-06-30,2800000000,0000064803-25-000024,2025,Q2,10-Q,NetIncomeLoss,0000064803,CVS Health
2025-04-01,2025-06-30,1021000000,0000064803-25-000024,2025,Q2,10-Q,NetIncomeLoss,0000064803,CVS Health
2025-01-01,2025-03-31,1779000000,0000064803-25-000013,2025,Q1,10-Q,NetIncomeLossAvailableToCommonStockholdersBasic,0000064803,CVS Health
2025-01-01,2025-06-30,2800000000,0000064803-25-000024,2025,Q2,10-Q,NetIncomeLossAvailableToCommonStockholdersBasic,0000064803,CVS Health
2025-04-01,2025-06-30,1021000000,0000064803-25-000024,2025,Q2,10-Q,NetIncomeLossAvailableToCommonStockholdersBasic,0000064803,CVS Health
2025-01-01,2025-03-31,835000000,0000064803-25-000013,2025,Q1,10-Q,IncomeTaxExpenseBenefit,0000064803,CVS Health
2025-01-01,2025-06-30,1469000000,0000064803-25-000024,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0000064803,CVS Health
2025-04-01,2025-06-30,634000000,0000064803-25-000024,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0000064803,CVS Health
2025-01-01,2025-03-31,1154000000,0000064803-25-000013,2025,Q1,10-Q,DepreciationDepletionAndAmortization,0000064803,CVS Health
2025-01-01,2025-06-30,2325000000,0000064803-25-000024,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0000064803,CVS Health
2025-04-01,2025-06-30,1171000000,0000064803-25-000024,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0000064803,CVS Health
2025-01-01,2025-03-31,4556000000,0000064803-25-000013,2025,Q1,10-Q,NetCashProvidedByUsedInOperatingActivities,0000064803,CVS Health
2025-01-01,2025-06-30,6453000000,0000064803-25-000024,2025,Q2,10-Q,NetCashProvidedByUsedInOperatingActivities,0000064803,CVS Health
2025-01-01,2025-03-31,-762000000,0000064803-25-000013,2025,Q1,10-Q,NetCashProvidedByUsedInInvestingActivities,0000064803,CVS Health
2025-01-01,2025-06-30,-1786000000,0000064803-25-000024,2025,Q2,10-Q,NetCashProvidedByUsedInInvestingActivities,0000064803,CVS Health
2025-01-01,2025-03-31,-2332000000,0000064803-25-000013,2025,Q1,10-Q,NetCashProvidedByUsedInFinancingActivities,0000064803,CVS Health
2025-01-01,2025-06-30,-1526000000,0000064803-25-000024,2025,Q2,10-Q,NetCashProvidedByUsedInFinancingActivities,0000064803,CVS Health
2025-01-01,2025-03-31,743000000,0000064803-25-000013,2025,Q1,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0000064803,CVS Health
2025-01-01,2025-06-30,1350000000,0000064803-25-000024,2025,Q2,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0000064803,CVS Health
2025-01-01,2025-03-31,848000000,0000064803-25-000013,2025,Q1,10-Q,DividendsCommonStock,0000064803,CVS Health
2025-01-01,2025-03-31,848000000,0000064803-25-000024,2025,Q2,10-Q,DividendsCommonStock,0000064803,CVS Health
2025-04-01,2025-06-30,853000000,0000064803-25-000024,2025,Q2,10-Q,DividendsCommonStock,0000064803,CVS Health
2025-01-01,2025-03-31,520000000,0000064803-25-000013,2025,Q1,10-Q,InvestmentIncomeNet,0000064803,CVS Health
2025-01-01,2025-06-30,1007000000,0000064803-25-000024,2025,Q2,10-Q,InvestmentIncomeNet,0000064803,CVS Health
2025-04-01,2025-06-30,487000000,0000064803-25-000024,2025,Q2,10-Q,InvestmentIncomeNet,0000064803,CVS Health
2025-01-01,2025-03-31,1958000000,0000064803-25-000013,2025,Q1,10-Q,ComprehensiveIncomeNetOfTax,0000064803,CVS Health
2025-01-01,2025-06-30,3192000000,0000064803-25-000024,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0000064803,CVS Health
2025-04-01,2025-06-30,1234000000,0000064803-25-000024,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0000064803,CVS Health
2025-01-01,2025-03-31,51057000000,0000064803-25-000013,2025,Q1,10-Q,CostOfGoodsAndServicesSold,0000064803,CVS Health
2025-01-01,2025-06-30,1.05062E+11,0000064803-25-000024,2025,Q2,10-Q,CostOfGoodsAndServicesSold,0000064803,CVS Health
2025-04-01,2025-06-30,54005000000,0000064803-25-000024,2025,Q2,10-Q,CostOfGoodsAndServicesSold,0000064803,CVS Health
2025-01-01,2025-03-31,89725000000,0000950170-25-063112,2025,Q1,10-Q,Revenues,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,1.8224E+11,0000950170-25-101578,2025,Q2,10-Q,Revenues,0001067983,Berkshire Hathaway
2025-04-01,2025-06-30,92515000000,0000950170-25-101578,2025,Q2,10-Q,Revenues,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,4603000000,0000950170-25-063112,2025,Q1,10-Q,NetIncomeLoss,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,16973000000,0000950170-25-101578,2025,Q2,10-Q,NetIncomeLoss,0001067983,Berkshire Hathaway
2025-04-01,2025-06-30,12370000000,0000950170-25-101578,2025,Q2,10-Q,NetIncomeLoss,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,1257000000,0000950170-25-063112,2025,Q1,10-Q,InterestExpense,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,2510000000,0000950170-25-101578,2025,Q2,10-Q,InterestExpense,0001067983,Berkshire Hathaway
2025-04-01,2025-06-30,1253000000,0000950170-25-101578,2025,Q2,10-Q,InterestExpense,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,476000000,0000950170-25-063112,2025,Q1,10-Q,IncomeTaxExpenseBenefit,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,2769000000,0000950170-25-101578,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0001067983,Berkshire Hathaway
2025-04-01,2025-06-30,2293000000,0000950170-25-101578,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,3265000000,0000950170-25-063112,2025,Q1,10-Q,DepreciationDepletionAndAmortization,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,6594000000,0000950170-25-101578,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0001067983,Berkshire Hathaway
2025-04-01,2025-06-30,3329000000,0000950170-25-101578,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,10903000000,0000950170-25-063112,2025,Q1,10-Q,NetCashProvidedByUsedInOperatingActivities,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,20988000000,0000950170-25-101578,2025,Q2,10-Q,NetCashProvidedByUsedInOperatingActivities,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,-16401000000,0000950170-25-063112,2025,Q1,10-Q,NetCashProvidedByUsedInInvestingActivities,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,32957000000,0000950170-25-101578,2025,Q2,10-Q,NetCashProvidedByUsedInInvestingActivities,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,53000000,0000950170-25-063112,2025,Q1,10-Q,NetCashProvidedByUsedInFinancingActivities,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,-1113000000,0000950170-25-101578,2025,Q2,10-Q,NetCashProvidedByUsedInFinancingActivities,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,4281000000,0000950170-25-063112,2025,Q1,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,9139000000,0000950170-25-101578,2025,Q2,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0001067983,Berkshire Hathaway
2025-01-01,2025-03-31,5103000000,0000950170-25-063112,2025,Q1,10-Q,ComprehensiveIncomeNetOfTax,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,18662000000,0000950170-25-101578,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0001067983,Berkshire Hathaway
2025-04-01,2025-06-30,13559000000,0000950170-25-101578,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0001067983,Berkshire Hathaway
2025-01-01,2025-06-30,1.86662E+11,0001652044-25-000062,2025,Q2,10-Q,Revenues,0001652044,Alphabet
2025-04-01,2025-06-30,96428000000,0001652044-25-000062,2025,Q2,10-Q,Revenues,0001652044,Alphabet
2025-01-01,2025-03-31,36361000000,0001652044-25-000043,2025,Q1,10-Q,CostOfRevenue,0001652044,Alphabet
2025-01-01,2025-06-30,75400000000,0001652044-25-000062,2025,Q2,10-Q,CostOfRevenue,0001652044,Alphabet
2025-04-01,2025-06-30,39039000000,0001652044-25-000062,2025,Q2,10-Q,CostOfRevenue,0001652044,Alphabet
2025-01-01,2025-03-31,30606000000,0001652044-25-000043,2025,Q1,10-Q,OperatingIncomeLoss,0001652044,Alphabet
2025-01-01,2025-06-30,61877000000,0001652044-25-000062,2025,Q2,10-Q,OperatingIncomeLoss,0001652044,Alphabet
2025-04-01,2025-06-30,31271000000,0001652044-25-000062,2025,Q2,10-Q,OperatingIncomeLoss,0001652044,Alphabet
2025-01-01,2025-03-31,34540000000,0001652044-25-000043,2025,Q1,10-Q,NetIncomeLoss,0001652044,Alphabet
2025-01-01,2025-06-30,62736000000,0001652044-25-000062,2025,Q2,10-Q,NetIncomeLoss,0001652044,Alphabet
2025-04-01,2025-06-30,28196000000,0001652044-25-000062,2025,Q2,10-Q,NetIncomeLoss,0001652044,Alphabet
2025-01-01,2025-03-31,34540000000,0001652044-25-000043,2025,Q1,10-Q,NetIncomeLossAvailableToCommonStockholdersBasic,0001652044,Alphabet
2025-01-01,2025-06-30,62736000000,0001652044-25-000062,2025,Q2,10-Q,NetIncomeLossAvailableToCommonStockholdersBasic,0001652044,Alphabet
2025-04-01,2025-06-30,28196000000,0001652044-25-000062,2025,Q2,10-Q,NetIncomeLossAvailableToCommonStockholdersBasic,0001652044,Alphabet
2025-01-01,2025-03-31,7249000000,0001652044-25-000043,2025,Q1,10-Q,IncomeTaxExpenseBenefit,0001652044,Alphabet
2025-01-01,2025-06-30,12986000000,0001652044-25-000062,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0001652044,Alphabet
2025-04-01,2025-06-30,5737000000,0001652044-25-000062,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0001652044,Alphabet
2025-01-01,2025-03-31,36150000000,0001652044-25-000043,2025,Q1,10-Q,NetCashProvidedByUsedInOperatingActivities,0001652044,Alphabet
2025-01-01,2025-06-30,63897000000,0001652044-25-000062,2025,Q2,10-Q,NetCashProvidedByUsedInOperatingActivities,0001652044,Alphabet
2025-01-01,2025-03-31,-16194000000,0001652044-25-000043,2025,Q1,10-Q,NetCashProvidedByUsedInInvestingActivities,0001652044,Alphabet
2025-01-01,2025-06-30,-40738000000,0001652044-25-000062,2025,Q2,10-Q,NetCashProvidedByUsedInInvestingActivities,0001652044,Alphabet
2025-01-01,2025-03-31,-20201000000,0001652044-25-000043,2025,Q1,10-Q,NetCashProvidedByUsedInFinancingActivities,0001652044,Alphabet
2025-01-01,2025-06-30,-26033000000,0001652044-25-000062,2025,Q2,10-Q,NetCashProvidedByUsedInFinancingActivities,0001652044,Alphabet
2025-01-01,2025-03-31,17197000000,0001652044-25-000043,2025,Q1,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0001652044,Alphabet
2025-01-01,2025-06-30,39643000000,0001652044-25-000062,2025,Q2,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0001652044,Alphabet
2025-01-01,2025-03-31,11183000000,0001652044-25-000043,2025,Q1,10-Q,NonoperatingIncomeExpense,0001652044,Alphabet
2025-01-01,2025-06-30,13845000000,0001652044-25-000062,2025,Q2,10-Q,NonoperatingIncomeExpense,0001652044,Alphabet
2025-04-01,2025-06-30,2662000000,0001652044-25-000062,2025,Q2,10-Q,NonoperatingIncomeExpense,0001652044,Alphabet
2025-01-01,2025-03-31,35254000000,0001652044-25-000043,2025,Q1,10-Q,ComprehensiveIncomeNetOfTax,0001652044,Alphabet
2025-01-01,2025-06-30,65409000000,0001652044-25-000062,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0001652044,Alphabet
2025-04-01,2025-06-30,30155000000,0001652044-25-000062,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0001652044,Alphabet
2025-01-01,2025-03-31,13556000000,0001652044-25-000043,2025,Q1,10-Q,ResearchAndDevelopmentExpense,0001652044,Alphabet
2025-01-01,2025-06-30,27364000000,0001652044-25-000062,2025,Q2,10-Q,ResearchAndDevelopmentExpense,0001652044,Alphabet
2025-04-01,2025-06-30,13808000000,0001652044-25-000062,2025,Q2,10-Q,ResearchAndDevelopmentExpense,0001652044,Alphabet
2025-01-01,2025-03-31,83130000000,0000034088-25-000024,2025,Q1,10-Q,Revenues,0000034088,Exxon Mobil
2025-01-01,2025-06-30,1.64636E+11,0000034088-25-000042,2025,Q2,10-Q,Revenues,0000034088,Exxon Mobil
2025-04-01,2025-06-30,81506000000,0000034088-25-000042,2025,Q2,10-Q,Revenues,0000034088,Exxon Mobil
2025-01-01,2025-03-31,7713000000,0000034088-25-000024,2025,Q1,10-Q,NetIncomeLoss,0000034088,Exxon Mobil
2025-01-01,2025-06-30,14795000000,0000034088-25-000042,2025,Q2,10-Q,NetIncomeLoss,0000034088,Exxon Mobil
2025-04-01,2025-06-30,7082000000,0000034088-25-000042,2025,Q2,10-Q,NetIncomeLoss,0000034088,Exxon Mobil
2025-01-01,2025-03-31,205000000,0000034088-25-000024,2025,Q1,10-Q,InterestExpense,0000034088,Exxon Mobil
2025-01-01,2025-06-30,350000000,0000034088-25-000042,2025,Q2,10-Q,InterestExpense,0000034088,Exxon Mobil
2025-04-01,2025-06-30,145000000,0000034088-25-000042,2025,Q2,10-Q,InterestExpense,0000034088,Exxon Mobil
2025-01-01,2025-03-31,3567000000,0000034088-25-000024,2025,Q1,10-Q,IncomeTaxExpenseBenefit,0000034088,Exxon Mobil
2025-01-01,2025-06-30,6918000000,0000034088-25-000042,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0000034088,Exxon Mobil
2025-04-01,2025-06-30,3351000000,0000034088-25-000042,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0000034088,Exxon Mobil
2025-01-01,2025-03-31,5702000000,0000034088-25-000024,2025,Q1,10-Q,DepreciationDepletionAndAmortization,0000034088,Exxon Mobil
2025-01-01,2025-06-30,11803000000,0000034088-25-000042,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0000034088,Exxon Mobil
2025-04-01,2025-06-30,6101000000,0000034088-25-000042,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0000034088,Exxon Mobil
2025-01-01,2025-03-31,12953000000,0000034088-25-000024,2025,Q1,10-Q,NetCashProvidedByUsedInOperatingActivities,0000034088,Exxon Mobil
2025-01-01,2025-06-30,24503000000,0000034088-25-000042,2025,Q2,10-Q,NetCashProvidedByUsedInOperatingActivities,0000034088,Exxon Mobil
2025-01-01,2025-03-31,-4135000000,0000034088-25-000024,2025,Q1,10-Q,NetCashProvidedByUsedInInvestingActivities,0000034088,Exxon Mobil
2025-01-01,2025-06-30,-10315000000,0000034088-25-000042,2025,Q2,10-Q,NetCashProvidedByUsedInInvestingActivities,0000034088,Exxon Mobil
2025-01-01,2025-03-31,-13579000000,0000034088-25-000024,2025,Q1,10-Q,NetCashProvidedByUsedInFinancingActivities,0000034088,Exxon Mobil
2025-01-01,2025-06-30,-22264000000,0000034088-25-000042,2025,Q2,10-Q,NetCashProvidedByUsedInFinancingActivities,0000034088,Exxon Mobil
2025-01-01,2025-03-31,5898000000,0000034088-25-000024,2025,Q1,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0000034088,Exxon Mobil
2025-01-01,2025-06-30,12181000000,0000034088-25-000042,2025,Q2,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,0000034088,Exxon Mobil
2025-01-01,2025-03-31,7994000000,0000034088-25-000024,2025,Q1,10-Q,ComprehensiveIncomeNetOfTax,0000034088,Exxon Mobil
2025-01-01,2025-06-30,16978000000,0000034088-25-000042,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0000034088,Exxon Mobil
2025-04-01,2025-06-30,8984000000,0000034088-25-000042,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0000034088,Exxon Mobil
2025-01-01,2025-03-31,2540000000,0000034088-25-000024,2025,Q1,10-Q,SellingGeneralAndAdministrativeExpense,0000034088,Exxon Mobil
2025-01-01,2025-06-30,5068000000,0000034088-25-000042,2025,Q2,10-Q,SellingGeneralAndAdministrativeExpense,0000034088,Exxon Mobil
2025-04-01,2025-06-30,2528000000,0000034088-25-000042,2025,Q2,10-Q,SellingGeneralAndAdministrativeExpense,0000034088,Exxon Mobil
2025-04-01,2025-06-30,1036000000,0000927653-25-000107,2026,Q1,10-Q,OperatingIncomeLoss,0000927653,McKesson
2025-04-01,2025-06-30,3279000000,0000927653-25-000107,2026,Q1,10-Q,GrossProfit,0000927653,McKesson
2025-04-01,2025-06-30,784000000,0000927653-25-000107,2026,Q1,10-Q,NetIncomeLoss,0000927653,McKesson
2025-04-01,2025-06-30,220000000,0000927653-25-000107,2026,Q1,10-Q,IncomeTaxExpenseBenefit,0000927653,McKesson
2025-04-01,2025-06-30,157000000,0000927653-25-000107,2026,Q1,10-Q,DepreciationAndAmortization,0000927653,McKesson
2025-04-01,2025-06-30,-918000000,0000927653-25-000107,2026,Q1,10-Q,NetCashProvidedByUsedInOperatingActivities,0000927653,McKesson
